"ChEMBL ID";"Class";"SlogP";"SMR";"LabuteASA";"TPSA";"AMW";"ExactMW";"NumLipinskiHBA";"NumLipinskiHBD";"NumRotatableBonds";"NumHBD";"NumHBA";"NumAmideBonds";"NumHeteroAtoms";"NumHeavyAtoms";"NumAtoms";"NumStereocenters";"NumUnspecifiedStereocenters";"NumRings";"NumAromaticRings";"NumSaturatedRings";"NumAliphaticRings";"NumAromaticHeterocycles";"NumSaturatedHeterocycles";"NumAliphaticHeterocycles";"NumAromaticCarbocycles";"NumSaturatedCarbocycles";"NumAliphaticCarbocycles";"FractionCSP3"
"CHEMBL1762";"Approved";0.5341144424545242;0.240606489053996;0.19383934158896504;0.16473893421799812;0.09278814166390403;0.09278698447662759;0.15789473684210525;0.1764705882352941;0.09523809523809523;0.13333333333333333;0.13333333333333333;0.16666666666666666;0.1111111111111111;0.23529411764705882;0.25;0.06666666666666667;0.25;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.36363636363636365
"CHEMBL6622";"Approved";0.38563538758088045;0.12524527244108108;0.21571268956395145;0.36821184135808;0.19449924540811692;0.1946092301090761;0.5263157894736842;0;0.19047619047619047;0;0.5333333333333333;0;0.5;0.29411764705882354;0.1818181818181818;0.26666666666666666;0;0.2857142857142857;0;0.4;0.3333333333333333;0;0.5;0.4;0;0;0;1
"CHEMBL1201251";"Approved";0.5822847049784229;0.4751038846226127;0.47946173073591486;0.2778026838817657;0.38285511604023537;0.3827862788106337;0.2631578947368421;0.29411764705882354;0.38095238095238093;0.3333333333333333;0.3333333333333333;0;0.22222222222222224;0.5;0.43181818181818177;0.06666666666666667;0;0.2857142857142857;0.5;0;0;0;0;0;0.6666666666666666;0;0;0.3333333333333333
"CHEMBL1095292";"Approved";0.6660192891615794;0.5597494447678821;0.5786519060443909;0.17095549777339428;0.6076794502954612;0.6052165844234112;0.21052631578947367;0;0.19047619047619047;0;0.2;0;0.2777777777777778;0.5294117647058822;0.4545454545454545;0;0;0.2857142857142857;0.5;0;0;0;0;0;0.6666666666666666;0;0;0.3333333333333333
"CHEMBL558";"Approved";0.5587719091924248;0.21646659828301656;0.16813858771183476;0.10535281986909349;0.06265314969665631;0.06264686790595131;0.10526315789473684;0.11764705882352941;0.14285714285714285;0.06666666666666667;0.13333333333333333;0;0.05555555555555555;0.20588235294117646;0.25;0.06666666666666667;0.25;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.45454545454545453
"CHEMBL249856";"Approved";0.5551250905824496;0.314617929453948;0.29529825456752684;0.19641949849069004;0.22271472253969404;0.22251963410427306;0.21052631578947367;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.2;0;0.22222222222222224;0.3235294117647059;0.23863636363636362;0;0;0.2857142857142857;0.5;0;0;0.3333333333333333;0;0;0.3333333333333333;0;0;0.16666666666666666
"CHEMBL2111112";"Approved";0.593003394811796;0.5428475937887949;0.5634123771455664;0.152903553602917;0.4572386341771004;0.4571496489664855;0.2631578947368421;0.058823529411764705;0.3333333333333333;0.06666666666666667;0.3333333333333333;0;0.22222222222222224;0.5588235294117647;0.5454545454545454;0.2;0;0.42857142857142855;0.25;0.4;0.3333333333333333;0;0.25;0.2;0.3333333333333333;0.3333333333333333;0.25;0.7
"CHEMBL2103827";"Approved";0.4195331041751371;0.18013547355678206;0.19885439823306728;0.37063271466571024;0.14130225635723365;0.14134761353056363;0.3157894736842105;0.3529411764705882;0.14285714285714285;0.3333333333333333;0.3333333333333333;0;0.2777777777777778;0.2647058823529412;0.20454545454545456;0.13333333333333333;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.2222222222222222
"CHEMBL495";"Approved";0.6397310583278175;0.541265836821825;0.5648647550450656;0.2834215009414507;0.4688669994134814;0.46878176164791313;0.2631578947368421;0.1764705882352941;0.6190476190476191;0.2;0.26666666666666666;0;0.22222222222222224;0.5588235294117647;0.5795454545454546;0.26666666666666666;0;0.14285714285714285;0;0.2;0.16666666666666666;0;0;0;0;0.3333333333333333;0.25;0.8
"CHEMBL189";"Approved";0.5356746446423913;0.2525474450081482;0.2380228799045339;0.20783645655877336;0.13674688600446488;0.13673411741197578;0.21052631578947367;0.058823529411764705;0.047619047619047616;0.06666666666666667;0.2;0;0.16666666666666666;0.29411764705882354;0.1931818181818182;0;0;0.2857142857142857;0.5;0;0;0.6666666666666666;0;0;0;0;0;0.08333333333333333
"CHEMBL3833382";"Approved";0.5839647504068513;0.6034626153974123;0.6276985743156314;0.1306076093128904;0.503738185594829;0.5036017555787717;0.21052631578947367;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.2;0;0.16666666666666666;0.6176470588235294;0.5909090909090909;0.6666666666666666;0.25;1;0.25;1;1;0;1;1;0.3333333333333333;0.3333333333333333;0.25;0.7391304347826086
"CHEMBL1201212";"Approved";0.4345975115167117;0.30509966455047083;0.31338314482184876;0.2803729938133237;0.23657556698712645;0.23658562234026265;0.3157894736842105;0.23529411764705882;0.2857142857142857;0.2;0.3333333333333333;0.16666666666666666;0.2777777777777778;0.35294117647058826;0.31818181818181823;0.06666666666666667;0.25;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.4166666666666667
