"ChEMBLID";"Class";"SlogP";"SMR";"LabuteASA";"TPSA";"AMW";"ExactMW";"NumLipinskiHBA";"NumLipinskiHBD";"NumRotatableBonds";"NumHBD";"NumHBA";"NumAmideBonds";"NumHeteroAtoms";"NumHeavyAtoms";"NumAtoms";"NumStereocenters";"NumUnspecifiedStereocenters";"NumRings";"NumAromaticRings";"NumSaturatedRings";"NumAliphaticRings";"NumAromaticHeterocycles";"NumSaturatedHeterocycles";"NumAliphaticHeterocycles";"NumAromaticCarbocycles";"NumSaturatedCarbocycles";"NumAliphaticCarbocycles";"FractionCSP3"
"CHEMBL6622";"Approved";0.38563538758088045;0.12524527244108108;0.21571268956395145;0.36821184135808;0.19449924540811692;0.1946092301090761;0.5263157894736842;0;0.19047619047619047;0;0.5333333333333333;0;0.5;0.29411764705882354;0.1818181818181818;0.26666666666666666;0;0.2857142857142857;0;0.4;0.3333333333333333;0;0.5;0.4;0;0;0;1
"CHEMBL1095292";"Approved";0.6660192891615794;0.5597494447678821;0.5786519060443909;0.17095549777339428;0.6076794502954612;0.6052165844234112;0.21052631578947367;0;0.19047619047619047;0;0.2;0;0.2777777777777778;0.5294117647058822;0.4545454545454545;0;0;0.2857142857142857;0.5;0;0;0;0;0;0.6666666666666666;0;0;0.3333333333333333
"CHEMBL249856";"Approved";0.5551250905824496;0.314617929453948;0.29529825456752684;0.19641949849069004;0.22271472253969404;0.22251963410427306;0.21052631578947367;0.11764705882352941;0.14285714285714285;0.13333333333333333;0.2;0;0.22222222222222224;0.3235294117647059;0.23863636363636362;0;0;0.2857142857142857;0.5;0;0;0.3333333333333333;0;0;0.3333333333333333;0;0;0.16666666666666666
"CHEMBL2103827";"Approved";0.4195331041751371;0.18013547355678206;0.19885439823306728;0.37063271466571024;0.14130225635723365;0.14134761353056363;0.3157894736842105;0.3529411764705882;0.14285714285714285;0.3333333333333333;0.3333333333333333;0;0.2777777777777778;0.2647058823529412;0.20454545454545456;0.13333333333333333;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.2222222222222222
"CHEMBL189";"Approved";0.5356746446423913;0.2525474450081482;0.2380228799045339;0.20783645655877336;0.13674688600446488;0.13673411741197578;0.21052631578947367;0.058823529411764705;0.047619047619047616;0.06666666666666667;0.2;0;0.16666666666666666;0.29411764705882354;0.1931818181818182;0;0;0.2857142857142857;0.5;0;0;0.6666666666666666;0;0;0;0;0;0.08333333333333333
"CHEMBL1201212";"Approved";0.4345975115167117;0.30509966455047083;0.31338314482184876;0.2803729938133237;0.23657556698712645;0.23658562234026265;0.3157894736842105;0.23529411764705882;0.2857142857142857;0.2;0.3333333333333333;0.16666666666666666;0.2777777777777778;0.35294117647058826;0.31818181818181823;0.06666666666666667;0.25;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.4166666666666667
"CHEMBL284906";"Approved";0.4462234258814361;0.17377456189798562;0.19870483847913162;0.2820167966765294;0.13663792803673963;0.13669873356983853;0.3684210526315789;0.058823529411764705;0.23809523809523808;0.06666666666666667;0.3333333333333333;0.16666666666666666;0.33333333333333326;0.2647058823529412;0.1818181818181818;0;0;0.14285714285714285;0.25;0;0;0.3333333333333333;0;0;0;0;0;0.25
"CHEMBL1311";"Approved";0.37353906049619606;0.08011360310991611;0.13227831559614772;0.2721539794972952;0.09018474171166002;0.09027452251949325;0.3684210526315789;0.058823529411764705;0.09523809523809523;0.06666666666666667;0.4;0;0.33333333333333326;0.20588235294117646;0.1590909090909091;0.26666666666666666;0;0.2857142857142857;0;0.4;0.3333333333333333;0;0.5;0.4;0;0;0;1
"CHEMBL524";"Approved";0.5058482381363595;0.24029922467725762;0.22352055869409365;0.19340087868734865;0.1368326614258656;0.13684145892485794;0.21052631578947367;0.1764705882352941;0.19047619047619047;0.13333333333333333;0.26666666666666666;0;0.16666666666666666;0.2647058823529412;0.2727272727272727;0.13333333333333333;0.5;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.45454545454545453
"CHEMBL640";"Approved";0.5201846257922816;0.3390273503799615;0.2971921739486127;0.17442242744851905;0.19263305042899292;0.1926155374605048;0.21052631578947367;0.1764705882352941;0.2857142857142857;0.13333333333333333;0.2;0.16666666666666666;0.16666666666666666;0.3235294117647059;0.34090909090909094;0;0;0.14285714285714285;0.25;0;0;0;0;0;0.3333333333333333;0;0;0.46153846153846156
